First_pokemon,Second_pokemon,Winner,id_x,First_Type_1,First_Total,First_Hit_points,First_Attack,First_Defense,First_Special_attack,First_Special_defense,First_Speed,id_y,Second_Type_1,Second_Total,Second_Hit_points,Second_Attack,Second_Defense,Second_Special_attack,Second_Special_defense,Second_Speed,target
654,671,671,654,Water,335,55,40,50,65,85,40,671,Ghost,520,60,55,90,145,90,80,0
121,355,121,121,Ground,485,105,130,120,45,45,40,355,Fire,560,70,120,100,145,105,20,1
609,649,649,609,Grass,280,45,35,50,70,50,30,649,Electric,428,55,75,60,75,60,103,0
270,708,270,270,Psychic,680,106,90,130,90,154,110,708,Dragon,680,100,150,120,120,100,90,1
460,568,568,460,Bug,424,60,79,105,59,85,36,568,Normal,500,85,110,90,45,90,80,0
626,767,767,626,Water,355,54,78,103,53,45,22,767,Rock,362,58,89,77,45,45,48,0
139,451,139,139,Normal,490,75,100,95,40,70,110,451,Electric,523,80,120,79,95,79,70,1
694,747,694,694,Bug,484,58,109,112,48,48,109,747,Psychic,466,74,48,76,83,81,104,1
455,549,549,455,Rock,495,97,165,60,65,50,58,549,Water,600,100,100,100,100,100,100,0
181,301,301,181,Bug,390,55,35,50,55,110,85,301,Normal,430,60,85,60,50,50,125,0
208,184,184,208,Grass,425,75,75,55,105,85,30,184,Poison,535,85,90,80,70,80,130,0
536,365,536,536,Electric,520,50,65,107,105,107,86,365,Normal,310,45,40,60,40,75,50,1
260,381,381,260,Fire,365,45,75,37,70,55,83,381,Rock,495,75,125,100,70,80,45,0
471,269,269,471,Water,475,111,83,68,92,82,39,269,Rock,700,100,164,150,95,120,71,0
621,287,287,621,Dark,348,50,75,70,35,70,48,287,Normal,240,38,30,41,30,41,60,0
406,134,406,406,Water,330,43,30,55,40,65,97,134,Ice,455,65,50,35,115,95,95,1
592,503,503,592,Normal,545,103,60,126,80,126,50,503,Poison,500,70,90,110,60,75,95,0
564,242,242,564,Normal,255,45,55,39,35,39,42,242,Water,300,35,65,35,65,35,65,0
579,242,242,579,Normal,264,50,55,50,36,30,43,242,Water,300,35,65,35,65,35,65,0
200,719,200,200,Water,420,100,50,80,60,80,50,719,Grass,313,56,61,65,48,45,38,1
376,135,376,376,Ground,300,40,40,55,40,70,55,135,Electric,490,65,83,57,95,85,105,1
76,441,441,76,Grass,300,50,75,35,70,30,40,441,Water,530,84,86,88,111,101,60,0
667,645,645,667,Psychic,335,55,55,55,85,55,30,645,Ice,395,51,65,65,80,75,59,0
475,400,475,475,Normal,350,55,66,44,44,56,85,400,Ice,410,90,60,70,75,70,45,1
3,737,737,3,Grass,525,80,82,83,100,100,80,737,Fire,507,86,68,72,109,66,106,0
435,45,435,435,Grass,525,95,109,105,75,85,56,45,Normal,270,115,45,20,45,25,20,1
231,146,146,231,Bug,505,20,10,230,10,230,5,146,Water,525,130,65,60,110,95,65,0
510,715,715,510,Grass,334,60,62,50,62,60,40,715,Water,580,91,72,90,129,90,108,0
456,260,260,456,Rock,350,30,42,118,42,88,30,260,Fire,365,45,75,37,70,55,83,0
164,751,751,164,Psychic,780,106,190,100,154,100,130,751,Steel,520,60,150,50,150,50,60,0
424,754,424,424,Ground,670,100,150,140,100,90,90,754,Fairy,462,101,72,72,99,89,29,1
258,779,258,258,Ice,305,45,30,15,85,65,65,779,Ghost,309,43,70,48,50,60,38,1
360,208,208,360,Ground,290,45,100,45,45,45,10,208,Grass,425,75,75,55,105,85,30,0
723,646,646,723,Fire,409,59,59,58,90,70,73,646,Ice,535,71,95,85,110,95,79,0
384,533,533,384,Normal,420,70,70,70,70,70,70,533,Electric,520,50,65,107,105,107,86,0
734,673,673,734,Bug,213,45,22,60,27,30,29,673,Dragon,410,66,117,70,40,50,67,0
141,721,141,141,Water,540,95,125,79,60,100,81,721,Grass,530,88,107,122,74,75,64,1
244,741,244,244,Ice,330,45,55,45,65,45,75,741,Grass,350,66,65,48,62,57,52,1
509,217,509,509,Water,345,45,20,50,60,120,50,217,Psychic,336,48,72,48,72,48,48,1
633,44,633,633,Dark,510,60,105,60,120,60,105,44,Fire,505,73,76,75,81,100,100,1
595,719,595,595,Fighting,505,105,140,95,55,65,45,719,Grass,313,56,61,65,48,45,38,1
606,40,606,606,Bug,485,60,100,89,55,69,112,40,Poison,505,81,102,77,85,75,85,1
368,598,368,368,Normal,458,73,115,60,60,60,90,598,Water,509,105,95,75,85,75,74,1
746,584,746,746,Psychic,355,62,48,54,63,60,68,584,Rock,280,55,75,85,25,25,15,1
350,187,350,350,Water,560,70,140,70,110,65,105,187,Electric,205,20,40,15,35,35,60,1
303,198,303,303,Water,430,60,50,100,85,70,65,198,Grass,490,75,80,95,90,100,50,1
169,701,701,169,Grass,525,80,82,100,83,100,80,701,Rock,580,91,129,90,72,90,108,0
569,115,115,569,Dark,281,41,50,37,50,37,66,115,Fighting,455,50,120,53,35,110,87,0
231,172,172,231,Bug,505,20,10,230,10,230,5,172,Fire,534,78,84,78,109,85,100,0
71,440,71,71,Psychic,500,55,50,45,135,95,120,440,Water,405,64,66,68,81,76,50,1
659,610,610,659,Grass,305,44,50,91,24,86,10,610,Grass,480,70,60,75,110,75,90,0
570,557,557,570,Dark,446,64,88,50,88,50,106,557,Grass,528,75,75,95,75,95,113,0
712,40,712,712,Dragon,700,125,170,100,120,90,95,40,Poison,505,81,102,77,85,75,85,1
451,352,451,451,Electric,523,80,120,79,95,79,70,352,Water,500,170,90,45,90,45,60,1
661,95,95,661,Steel,300,40,55,70,45,60,30,95,Water,475,90,70,80,70,95,70,0
540,4,540,540,Psychic,580,75,125,70,125,70,115,4,Grass,625,80,100,123,122,120,80,1
130,319,130,130,Water,340,30,45,55,70,55,85,319,Normal,360,84,71,43,71,43,48,1
125,418,418,125,Normal,590,105,125,100,60,100,100,418,Dragon,600,80,80,90,110,130,110,0
309,276,276,309,Bug,414,70,60,62,80,82,60,276,Grass,630,70,110,75,145,85,145,0
579,612,612,579,Normal,264,50,55,50,36,30,43,612,Ground,292,50,72,35,35,35,65,0
716,80,80,716,Normal,600,100,77,77,128,128,90,80,Water,515,80,70,65,80,120,100,0
482,535,535,482,Psychic,285,45,30,50,65,50,45,535,Electric,520,50,65,107,105,107,86,0
376,37,37,376,Ground,300,40,40,55,40,70,55,37,Poison,505,90,92,87,75,85,76,0
6,328,328,6,Fire,405,58,64,58,80,65,80,328,Dark,480,50,85,125,85,115,20,0
343,159,159,343,Bug,400,65,73,55,47,75,85,159,Fire,580,90,100,90,125,85,90,0
509,574,574,509,Water,345,45,20,50,60,120,50,574,Fire,498,75,98,63,98,63,101,0
546,530,546,546,Ghost,680,150,120,100,120,100,90,530,Ghost,525,45,100,135,65,135,45,1
486,229,229,486,Steel,500,67,89,116,79,116,33,229,Bug,500,70,130,100,55,80,65,0
686,213,213,686,Dark,340,45,85,70,40,40,60,213,Dark,525,95,65,110,60,130,65,0
304,386,386,304,Psychic,198,28,25,25,45,35,40,386,Ghost,295,44,75,35,63,33,45,0
514,732,732,514,Electric,535,70,70,115,130,90,60,732,Fire,499,78,81,71,74,69,126,0
161,757,161,161,Dragon,420,61,84,65,70,70,70,757,Dark,288,53,54,53,37,46,45,1
150,265,265,150,Rock,355,35,40,100,90,55,35,265,Water,580,100,75,115,90,115,85,0
436,701,701,436,Fire,309,44,58,44,58,44,61,701,Rock,580,91,129,90,72,90,108,0
221,265,265,221,Bug,465,75,90,140,60,60,40,265,Water,580,100,75,115,90,115,85,0
436,603,603,436,Fire,309,44,58,44,58,44,61,603,Bug,500,75,103,80,70,80,92,0
242,365,242,242,Water,300,35,65,35,65,35,65,365,Normal,310,45,40,60,40,75,50,1
792,251,792,792,Flying,535,85,70,80,97,80,123,251,Ground,330,90,60,60,40,40,40,1
607,295,607,607,Grass,280,40,27,60,37,50,66,295,Water,340,60,50,50,60,70,50,1
439,209,209,439,Water,314,53,51,53,61,56,40,209,Bug,390,65,65,45,75,45,95,0
657,360,657,657,Bug,319,50,47,50,57,50,65,360,Ground,290,45,100,45,45,45,10,1
436,40,40,436,Fire,309,44,58,44,58,44,61,40,Poison,505,81,102,77,85,75,85,0
325,408,408,325,Normal,260,50,45,45,35,35,50,408,Dragon,420,65,95,100,60,50,50,0
472,89,472,472,Normal,482,75,100,66,60,66,115,89,Electric,325,25,35,70,95,55,45,1
71,777,71,71,Psychic,500,55,50,45,135,95,120,777,Dragon,600,90,100,70,110,150,80,1
47,615,47,47,Poison,245,40,45,35,30,40,55,615,Fire,315,70,90,45,15,45,50,1
5,670,5,5,Fire,309,39,52,43,60,50,65,670,Ghost,370,60,40,60,95,60,55,1
793,314,314,793,Fairy,680,126,131,95,131,98,99,314,Normal,670,150,160,100,95,65,100,0
195,461,195,195,Electric,365,70,55,55,80,60,45,461,Bug,424,60,69,95,69,95,36,1
493,568,493,493,Dragon,410,68,90,65,50,55,82,568,Normal,500,85,110,90,45,90,80,1
400,341,341,400,Ice,410,90,60,70,75,70,45,341,Electric,405,60,50,40,85,75,95,0
63,297,63,63,Fighting,455,65,105,60,60,70,95,297,Grass,220,40,40,50,30,30,30,1
541,446,541,541,Steel,680,100,120,120,150,100,90,446,Normal,410,79,85,60,55,60,71,1
141,152,141,141,Water,540,95,125,79,60,100,81,152,Rock,355,30,80,90,55,45,55,1
54,115,115,54,Bug,305,60,55,50,40,55,45,115,Fighting,455,50,120,53,35,110,87,0
378,161,161,378,Rock,355,66,41,77,61,87,23,161,Dragon,420,61,84,65,70,70,70,0
224,316,316,224,Steel,510,75,85,200,55,65,30,316,Bug,456,61,90,45,50,50,160,0
311,398,398,311,Grass,460,60,130,80,60,60,70,398,Ice,580,80,120,80,120,80,100,0
298,35,298,298,Grass,340,70,70,40,60,40,60,35,Poison,275,55,47,52,40,40,41,1
356,132,356,356,Fire,470,70,85,140,85,70,20,132,Psychic,460,40,45,65,100,120,90,1
103,370,103,103,Ghost,600,60,65,80,170,95,130,370,Rock,440,70,55,65,95,85,70,1
503,453,503,503,Poison,500,70,90,110,60,75,95,453,Grass,515,60,70,65,125,105,90,1
600,598,600,600,Fighting,465,75,125,75,30,75,85,598,Water,509,105,95,75,85,75,74,1
445,45,445,445,Normal,250,59,45,40,35,40,31,45,Normal,270,115,45,20,45,25,20,1
360,548,548,360,Ground,290,45,100,45,45,45,10,548,Water,480,80,80,80,80,80,80,0
303,133,133,303,Water,430,60,50,100,85,70,65,133,Bug,500,70,110,80,55,80,105,0
51,331,51,51,Grass,490,75,80,85,110,90,50,331,Steel,330,50,70,100,40,40,30,1
171,559,171,171,Fire,405,58,64,58,80,65,80,559,Fire,418,90,93,55,70,55,55,1
758,129,758,758,Dark,482,86,92,88,68,75,73,129,Water,450,80,92,65,65,80,68,1
6,255,6,6,Fire,405,58,64,58,80,65,80,255,Normal,250,55,20,35,20,45,75,1
698,154,154,698,Bug,360,55,85,55,50,55,60,154,Rock,515,80,105,65,60,75,130,0
92,491,491,92,Normal,310,35,85,45,35,35,75,491,Ghost,485,50,92,108,92,108,35,0
381,73,381,381,Rock,495,75,125,100,70,80,45,73,Fighting,305,70,80,50,35,35,35,1
354,271,271,354,Fire,460,70,100,70,105,75,40,271,Fire,680,106,130,90,110,154,90,0
219,49,219,219,Normal,455,70,80,65,90,65,85,49,Grass,320,45,50,55,75,65,30,1
736,244,244,736,Fire,369,62,50,58,73,54,72,244,Ice,330,45,55,45,65,45,75,0
683,245,245,683,Dragon,485,77,120,90,60,90,48,245,Water,465,65,40,70,80,140,70,0
533,452,533,533,Electric,520,50,65,107,105,107,86,452,Grass,280,40,30,35,50,70,55,1
200,588,588,200,Water,420,100,50,80,60,80,50,588,Psychic,425,67,57,55,77,55,114,0
403,636,403,403,Water,485,55,104,105,94,75,52,636,Psychic,290,45,30,50,55,65,45,1
56,561,561,56,Ground,265,10,55,25,35,45,95,561,Water,308,55,55,45,63,45,45,0
54,119,119,54,Bug,305,60,55,50,40,55,45,119,Poison,490,65,90,120,85,70,60,0
629,141,629,629,Rock,567,75,140,65,112,65,110,141,Water,540,95,125,79,60,100,81,1
547,779,547,547,Psychic,600,120,70,120,75,130,85,779,Ghost,309,43,70,48,50,60,38,1
380,547,547,380,Rock,355,45,95,50,40,50,75,547,Psychic,600,120,70,120,75,130,85,0
407,307,307,407,Dragon,300,45,75,60,40,30,50,307,Psychic,618,68,85,65,165,135,100,0
153,559,153,153,Rock,495,60,115,105,65,70,80,559,Fire,418,90,93,55,70,55,55,1
306,268,306,306,Psychic,518,68,65,65,125,115,80,268,Rock,600,100,134,110,95,100,61,1
89,382,89,89,Electric,325,25,35,70,95,55,45,382,Water,200,20,15,20,10,55,80,1
54,32,32,54,Bug,305,60,55,50,40,55,45,32,Electric,485,60,90,55,90,80,110,0
172,745,745,172,Fire,534,78,84,78,109,85,100,745,Normal,472,75,80,60,65,90,102,0
16,110,110,16,Bug,395,60,45,50,90,80,70,110,Electric,480,60,50,70,80,80,140,0
537,734,537,537,Electric,520,50,65,107,105,107,86,734,Bug,213,45,22,60,27,30,29,1
278,94,278,278,Fire,405,60,85,60,85,60,55,94,Water,325,65,45,55,45,70,45,1
342,643,643,342,Electric,405,60,40,50,75,85,95,643,Water,473,75,87,63,87,63,98,0
435,165,165,435,Grass,525,95,109,105,75,85,56,165,Psychic,780,106,150,70,194,120,140,0
638,691,691,638,Psychic,490,70,55,95,95,110,65,691,Dark,370,70,55,75,45,65,60,0
734,718,718,734,Bug,213,45,22,60,27,30,29,718,Bug,600,71,120,95,120,95,99,0
298,781,298,298,Grass,340,70,70,40,60,40,60,781,Ghost,335,49,66,70,44,55,51,1
42,113,42,42,Fairy,483,95,70,73,95,90,60,113,Ground,320,50,50,95,40,50,35,1
97,316,97,97,Poison,500,105,105,75,65,100,50,316,Bug,456,61,90,45,50,50,160,1
416,397,397,416,Ice,580,80,50,100,100,200,50,397,Ice,480,80,80,80,80,80,80,0
483,400,483,483,Poison,329,63,63,47,41,41,74,400,Ice,410,90,60,70,75,70,45,1
275,155,155,275,Grass,530,70,85,65,105,85,120,155,Rock,615,80,135,85,70,95,150,0
154,461,154,154,Rock,515,80,105,65,60,75,130,461,Bug,424,60,69,95,69,95,36,1
309,4,4,309,Bug,414,70,60,62,80,82,60,4,Grass,625,80,100,123,122,120,80,0
539,30,30,539,Psychic,580,80,105,105,105,105,80,30,Poison,438,60,85,69,65,79,80,0
545,266,545,545,Ghost,680,150,100,120,100,120,90,266,Rock,300,50,64,50,45,50,41,1
283,340,340,283,Water,535,100,110,90,85,90,60,340,Electric,575,70,75,80,135,80,135,0
232,254,254,232,Bug,500,80,125,75,40,95,85,254,Normal,465,73,95,62,85,65,85,0
384,427,427,384,Normal,420,70,70,70,70,70,70,427,Dragon,780,105,180,100,180,100,115,0
161,781,161,161,Dragon,420,61,84,65,70,70,70,781,Ghost,335,49,66,70,44,55,51,1
496,420,496,496,Normal,390,135,85,40,40,85,5,420,Dragon,600,80,90,80,130,110,110,1
268,159,159,268,Rock,600,100,134,110,95,100,61,159,Fire,580,90,100,90,125,85,90,0
473,593,473,473,Ghost,348,90,50,34,60,44,70,593,Fighting,305,75,80,55,25,35,35,1
550,475,550,550,Dark,600,70,90,90,135,90,125,475,Normal,350,55,66,44,44,56,85,1
199,785,785,199,Water,250,70,20,50,20,50,40,785,Ghost,494,65,90,122,58,75,84,0
385,732,732,385,Normal,440,60,90,70,60,120,40,732,Fire,499,78,81,71,74,69,126,0
488,196,488,488,Psychic,310,20,25,45,70,90,60,196,Electric,510,90,75,85,115,90,55,1
30,587,30,30,Poison,438,60,85,69,65,79,80,587,Psychic,313,55,45,43,55,43,72,1
36,494,494,36,Poison,365,70,62,67,55,55,56,494,Dragon,600,108,130,95,80,85,102,0
513,184,184,513,Dark,510,70,120,65,45,85,125,184,Poison,535,85,90,80,70,80,130,0
129,106,129,129,Water,450,80,92,65,65,80,68,106,Psychic,483,85,73,70,73,115,67,1
6,604,6,6,Fire,405,58,64,58,80,65,80,604,Bug,260,30,45,59,30,39,57,1
137,315,137,137,Bug,500,65,125,100,55,70,85,315,Bug,266,31,45,90,30,30,40,1
83,509,509,83,Rock,495,80,120,130,55,65,45,509,Water,345,45,20,50,60,120,50,0
585,534,585,585,Rock,390,70,105,105,50,40,20,534,Electric,520,50,65,107,105,107,86,1
743,57,57,743,Fighting,348,67,82,62,46,48,43,57,Ground,405,35,80,50,50,70,120,0
220,723,723,220,Bug,290,50,65,90,35,35,15,723,Fire,409,59,59,58,90,70,73,0
764,665,764,764,Water,500,71,73,88,120,89,59,665,Electric,405,65,85,70,75,70,40,1
708,439,708,708,Dragon,680,100,150,120,120,100,90,439,Water,314,53,51,53,61,56,40,1
28,545,545,28,Normal,442,65,90,65,61,61,100,545,Ghost,680,150,100,120,100,120,90,0
23,796,23,23,Normal,479,83,80,75,70,70,101,796,Rock,600,50,100,150,100,150,50,1
698,147,147,698,Bug,360,55,85,55,50,55,60,147,Electric,525,65,65,60,110,95,130,0
306,635,635,306,Psychic,518,68,65,65,125,115,80,635,Normal,470,75,95,60,65,60,115,0
158,666,158,158,Electric,580,90,90,85,125,90,100,666,Electric,515,85,115,80,105,80,50,1
55,750,750,55,Bug,450,70,65,60,90,75,90,750,Steel,448,59,110,150,45,49,35,0
513,439,513,513,Dark,510,70,120,65,45,85,125,439,Water,314,53,51,53,61,56,40,1
769,264,264,769,Rock,362,77,59,50,67,63,46,264,Fire,580,115,115,85,90,75,100,0
232,499,499,232,Bug,500,80,125,75,40,95,85,499,Fighting,625,70,145,88,140,70,112,0
23,623,23,23,Normal,479,83,80,75,70,70,101,623,Psychic,490,72,58,80,103,80,97,1
97,250,250,97,Poison,500,105,105,75,65,100,50,250,Water,540,75,95,95,95,95,85,0
324,544,544,324,Rock,375,30,45,135,45,90,30,544,Normal,670,110,160,110,80,110,100,0
517,10,517,517,Grass,535,100,100,125,110,50,50,10,Water,314,44,48,65,50,64,43,1
586,461,461,586,Rock,515,85,135,130,60,80,25,461,Bug,424,60,69,95,69,95,36,0
779,349,349,779,Ghost,309,43,70,48,50,60,38,349,Water,460,70,120,40,95,40,95,0
669,226,226,669,Ghost,275,50,30,55,65,55,20,226,Fairy,300,60,80,50,40,40,30,0
623,53,623,623,Psychic,490,72,58,80,103,80,97,53,Bug,405,60,95,80,60,80,30,1
538,718,718,538,Psychic,580,75,75,130,75,130,95,718,Bug,600,71,120,95,120,95,99,0
438,242,438,438,Fire,534,76,104,71,104,71,108,242,Water,300,35,65,35,65,35,65,1
523,759,523,523,Ice,525,65,60,110,130,95,65,759,Rock,306,42,52,67,39,56,50,1
14,103,103,14,Bug,195,45,30,35,20,20,45,103,Ghost,600,60,65,80,170,95,130,0
378,152,152,378,Rock,355,66,41,77,61,87,23,152,Rock,355,30,80,90,55,45,55,0
478,361,478,478,Ghost,495,60,60,60,105,105,105,361,Ground,340,50,70,50,50,50,70,1
137,698,137,137,Bug,500,65,125,100,55,70,85,698,Bug,360,55,85,55,50,55,60,1
354,739,739,354,Fire,460,70,100,70,105,75,40,739,Fairy,371,54,45,47,75,98,52,0
233,684,684,233,Bug,600,80,185,115,40,105,75,684,Ground,303,59,74,50,35,50,35,0
291,605,291,291,Bug,395,60,70,50,100,50,65,605,Bug,360,40,55,99,40,79,47,1
96,264,264,96,Poison,325,80,80,50,40,50,25,264,Fire,580,115,115,85,90,75,100,0
730,137,137,730,Normal,278,45,50,43,40,38,62,137,Bug,500,65,125,100,55,70,85,0
129,744,129,129,Water,450,80,92,65,65,80,68,744,Fighting,495,95,124,78,69,71,58,1
611,107,611,611,Water,460,70,92,65,80,55,98,107,Water,325,30,105,90,25,25,50,1
58,560,560,58,Normal,290,40,45,35,40,40,90,560,Fire,528,110,123,65,100,65,65,0
658,146,658,658,Bug,472,70,77,60,97,60,108,146,Water,525,130,65,60,110,95,65,1
625,753,625,625,Ghost,483,58,50,145,95,105,30,753,Fairy,341,78,52,60,63,65,23,1
524,27,524,524,Ground,510,75,95,125,45,75,95,27,Normal,262,40,60,30,31,31,70,1
794,474,794,794,Dark,680,126,131,95,131,98,99,474,Ghost,498,150,80,44,90,54,80,1
365,391,391,365,Normal,310,45,40,60,40,75,50,391,Grass,460,99,68,83,72,87,51,0
592,585,592,592,Normal,545,103,60,126,80,126,50,585,Rock,390,70,105,105,50,40,20,1
512,586,512,512,Grass,594,90,132,105,132,105,30,586,Rock,515,85,135,130,60,80,25,1
526,424,424,526,Normal,535,85,80,70,135,75,90,424,Ground,670,100,150,140,100,90,90,0
70,456,70,70,Psychic,400,40,35,30,120,70,105,456,Rock,350,30,42,118,42,88,30,1
540,288,540,540,Psychic,580,75,125,70,125,70,115,288,Normal,420,78,70,61,50,61,100,1
347,389,347,347,Poison,467,100,73,83,73,83,55,389,Ghost,295,20,40,90,30,90,25,1
689,128,128,689,Normal,350,70,83,50,37,50,60,128,Water,320,45,67,60,35,50,63,0
211,701,701,211,Water,430,95,85,85,65,65,35,701,Rock,580,91,129,90,72,90,108,0
336,385,336,336,Fighting,410,60,60,75,60,75,80,385,Normal,440,60,90,70,60,120,40,1
594,80,80,594,Fighting,405,85,105,85,40,50,40,80,Water,515,80,70,65,80,120,100,0
785,490,490,785,Ghost,494,65,90,122,58,75,84,490,Normal,411,76,65,45,92,42,91,0
425,308,425,425,Ground,770,100,180,160,150,90,90,308,Bug,269,40,30,32,50,52,65,1
27,731,731,27,Normal,262,40,60,30,31,31,70,731,Fire,382,62,73,55,56,52,84,0
459,399,459,459,Bug,424,60,59,85,79,105,36,399,Ice,290,70,40,50,55,50,25,1
421,494,421,421,Dragon,700,80,130,100,160,120,110,494,Dragon,600,108,130,95,80,85,102,1
578,768,768,578,Psychic,487,116,55,85,107,95,29,768,Rock,521,82,121,119,69,59,71,0
63,82,63,63,Fighting,455,65,105,60,60,70,95,82,Rock,390,55,95,115,45,45,35,1
257,221,257,257,Fighting,455,50,95,95,35,110,70,221,Bug,465,75,90,140,60,60,40,1
4,150,4,4,Grass,625,80,100,123,122,120,80,150,Rock,355,35,40,100,90,55,35,1
546,333,546,546,Ghost,680,150,120,100,120,100,90,333,Steel,530,70,110,180,60,60,50,1
308,544,544,308,Bug,269,40,30,32,50,52,65,544,Normal,670,110,160,110,80,110,100,0
213,442,213,213,Dark,525,95,65,110,60,130,65,442,Normal,245,40,55,30,30,30,60,1
575,302,302,575,Water,316,50,53,48,53,48,64,302,Water,270,40,30,30,55,30,85,0
209,645,209,209,Bug,390,65,65,45,75,45,95,645,Ice,395,51,65,65,80,75,59,1
92,768,92,92,Normal,310,35,85,45,35,35,75,768,Rock,521,82,121,119,69,59,71,1
116,672,116,116,Fighting,455,50,105,79,35,110,76,672,Dragon,320,46,87,60,30,40,57,1
132,69,69,132,Psychic,460,40,45,65,100,120,90,69,Psychic,310,25,20,15,105,55,90,0
568,396,568,568,Normal,500,85,110,90,45,90,80,396,Ice,300,50,50,50,50,50,50,1
644,218,644,644,Ice,305,36,50,50,65,60,44,218,Psychic,405,190,33,58,33,58,33,1
321,163,163,321,Fighting,237,72,60,30,20,30,25,163,Psychic,680,106,110,90,154,90,130,0
17,164,164,17,Bug,195,40,35,30,20,20,50,164,Psychic,780,106,190,100,154,100,130,0
715,190,715,715,Water,580,91,72,90,129,90,108,190,Fairy,245,35,20,65,40,65,20,1
51,57,51,51,Grass,490,75,80,85,110,90,50,57,Ground,405,35,80,50,50,70,120,1
237,448,448,237,Fire,250,40,40,40,70,40,20,448,Bug,384,77,85,51,55,51,65,0
580,676,580,580,Normal,358,62,77,62,50,42,65,676,Ice,485,95,110,80,70,80,50,1
789,726,726,789,Ice,304,55,69,85,32,35,28,726,Water,405,54,63,52,83,56,97,0
420,718,420,420,Dragon,600,80,90,80,130,110,110,718,Bug,600,71,120,95,120,95,99,1
83,499,499,83,Rock,495,80,120,130,55,65,45,499,Fighting,625,70,145,88,140,70,112,0
526,159,159,526,Normal,535,85,80,70,135,75,90,159,Fire,580,90,100,90,125,85,90,0
115,56,56,115,Fighting,455,50,120,53,35,110,87,56,Ground,265,10,55,25,35,45,95,0
358,636,358,358,Psychic,470,80,45,65,90,110,80,636,Psychic,290,45,30,50,55,65,45,1
54,532,532,54,Bug,305,60,55,50,40,55,45,532,Electric,440,50,50,77,95,77,91,0
534,798,534,534,Electric,520,50,65,107,105,107,86,798,Psychic,600,80,110,60,150,130,70,1
768,179,768,768,Rock,521,82,121,119,69,59,71,179,Normal,442,100,50,50,76,96,70,1
94,724,724,94,Water,325,65,45,55,45,70,45,724,Fire,534,75,69,72,114,100,104,0
795,437,795,795,Dragon,600,108,100,121,81,95,95,437,Fire,405,64,78,52,78,52,81,1
313,432,432,313,Normal,440,80,80,80,55,55,90,432,Psychic,600,50,95,90,95,90,180,0
305,251,305,305,Psychic,278,38,35,35,65,55,50,251,Ground,330,90,60,60,40,40,40,1
269,289,269,269,Rock,700,100,164,150,95,120,71,289,Bug,195,45,45,35,20,30,20,1
593,733,733,593,Fighting,305,75,80,55,25,35,35,733,Bug,200,38,35,40,27,25,35,0
568,428,428,568,Normal,500,85,110,90,45,90,80,428,Steel,600,100,100,100,100,100,100,0
290,287,287,290,Bug,205,50,35,55,25,25,15,287,Normal,240,38,30,41,30,41,60,0
762,733,762,762,Poison,494,65,75,90,97,123,44,733,Bug,200,38,35,40,27,25,35,1
217,100,100,217,Psychic,336,48,72,48,72,48,48,100,Ghost,310,30,35,30,100,35,80,0
